recipe-3400661506443469,b'Ravioli Violet',0 Bewertungen - Ø 2.5,star-unb,(0),normal,30 min.,02.10.2017,http://www.chefkoch.de/rezepte/3400661506443469/Ravioli-Violet.html,no
recipe-3398171505991142,b'Topfencreme',0 Bewertungen - Ø 2.5,star-unb,(0),simpel,15 min.,28.09.2017,http://www.chefkoch.de/rezepte/3398171505991142/Topfencreme.html,no
recipe-3397961505977997,b'Deutschs Gulasch',0 Bewertungen - Ø 2.5,star-unb,(0),simpel,15 min.,28.09.2017,http://www.chefkoch.de/rezepte/3397961505977997/Deutschs-Gulasch.html,no
recipe-3397231505834668,b'Wurst-K\xe4se-Sp\xe4tzle',2 Bewertungen - Ø 3.5,star-3_5,(2),simpel,30 min.,28.09.2017,http://www.chefkoch.de/rezepte/3397231505834668/Wurst-Kaese-Spaetzle.html,no
recipe-3398761506085411,b'Rhabarber-Thymianlik\xf6r',0 Bewertungen - Ø 2.5,star-unb,(0),simpel,5 min.,27.09.2017,http://www.chefkoch.de/rezepte/3398761506085411/Rhabarber-Thymianlikoer.html,no
recipe-3397801505922972,b'Ente mit Lauch im Pfannkuchen',0 Bewertungen - Ø 2.5,star-unb,(0),normal,60 min.,27.09.2017,http://www.chefkoch.de/rezepte/3397801505922972/Ente-mit-Lauch-im-Pfannkuchen.html,no
recipe-3396511505714317,b'Puten-Erbsen-Pfanne',0 Bewertungen - Ø 2.5,star-unb,(0),normal,30 min.,26.09.2017,http://www.chefkoch.de/rezepte/3396511505714317/Puten-Erbsen-Pfanne.html,no
recipe-3397751505915231,"b'Dunkles Butterspritzgeb\xe4ck - ein Teig, vier M\xf6glichkeiten'",0 Bewertungen - Ø 2.5,star-unb,(0),normal,60 min.,27.09.2017,http://www.chefkoch.de/rezepte/3397751505915231/Dunkles-Butterspritzgebaeck-ein-Teig-vier-Moeglichkeiten.html,no
recipe-3396131505644322,b'Burchis Rinderrouladen nach Omas Art',0 Bewertungen - Ø 2.5,star-unb,(0),normal,30 min.,26.09.2017,http://www.chefkoch.de/rezepte/3396131505644322/Burchis-Rinderrouladen-nach-Omas-Art.html,no
recipe-3395571505545871,b'Glutenfreies Fladenbrot - Pide',0 Bewertungen - Ø 2.5,star-unb,(0),normal,20 min.,26.09.2017,http://www.chefkoch.de/rezepte/3395571505545871/Glutenfreies-Fladenbrot-Pide.html,no
recipe-3238691481826860,b'Mit Gew\xfcrzgurken gef\xfcllte Pilze',0 Bewertungen - Ø 2.5,star-unb,(0),simpel,15 min.,26.09.2017,http://www.chefkoch.de/rezepte/3238691481826860/Mit-Gewuerzgurken-gefuellte-Pilze.html,no
recipe-3397371505845506,b'Entenbraten mit S\xfc\xdfkartoffelf\xfcllung auf S\xfc\xdfkartoffelso\xdfe',0 Bewertungen - Ø 2.5,star-unb,(0),simpel,30 min.,26.09.2017,http://www.chefkoch.de/rezepte/3397371505845506/Entenbraten-mit-Suesskartoffelfuellung-auf-Suesskartoffelsosse.html,no
recipe-3397321505842298,b'Schweinebraten in Bierso\xdfe',0 Bewertungen - Ø 2.5,star-unb,(0),normal,10 min.,26.09.2017,http://www.chefkoch.de/rezepte/3397321505842298/Schweinebraten-in-Biersosse.html,no
recipe-3401061506524325,b'Zucchiniauflauf',0 Bewertungen - Ø 2.5,star-unb,(0),normal,35 min.,02.10.2017,http://www.chefkoch.de/rezepte/3401061506524325/Zucchiniauflauf.html,yes
recipe-3401041506523281,b'Schwarzw\xe4lder Kirschtraum aus dem Glas',0 Bewertungen - Ø 2.5,star-unb,(0),simpel,30 min.,02.10.2017,http://www.chefkoch.de/rezepte/3401041506523281/Schwarzwaelder-Kirschtraum-aus-dem-Glas.html,yes
recipe-3401011506517919,b'Merlins weltklasse Rosenkohlauflauf mit Bratkartoffeln',0 Bewertungen - Ø 2.5,star-unb,(0),normal,30 min.,02.10.2017,http://www.chefkoch.de/rezepte/3401011506517919/Merlins-weltklasse-Rosenkohlauflauf-mit-Bratkartoffeln.html,no
recipe-3401001506516971,b'Zucchini-Kichererbsen-Avocadosalat',0 Bewertungen - Ø 2.5,star-unb,(0),normal,15 min.,02.10.2017,http://www.chefkoch.de/rezepte/3401001506516971/Zucchini-Kichererbsen-Avocadosalat.html,no
recipe-3400991506514661,b'H\xe4hnchen-Curry mit Mango',0 Bewertungen - Ø 2.5,star-unb,(0),simpel,20 min.,02.10.2017,http://www.chefkoch.de/rezepte/3400991506514661/Haehnchen-Curry-mit-Mango.html,no
recipe-3400981506514006,b'Schweinefilet in Ricottasauce',0 Bewertungen - Ø 2.5,star-unb,(0),normal,20 min.,02.10.2017,http://www.chefkoch.de/rezepte/3400981506514006/Schweinefilet-in-Ricottasauce.html,yes
recipe-3403451506938155,"b'Kabeljaupfanne ""K\xf6nigsberg"" mit Reis und Rote Bete-Salat'",0 Bewertungen - Ø 2.5,star-unb,(0),normal,20 min.,02.10.2017,http://www.chefkoch.de/rezepte/3403451506938155/Kabeljaupfanne-Koenigsberg-mit-Reis-und-Rote-Bete-Salat.html,no
recipe-3403441506937325,b'Zucchini-Eierkuchen mit Mozzarella und Speck',0 Bewertungen - Ø 2.5,star-unb,(0),simpel,10 min.,02.10.2017,http://www.chefkoch.de/rezepte/3403441506937325/Zucchini-Eierkuchen-mit-Mozzarella-und-Speck.html,no
recipe-3403431506936834,b'Rosmarin-Koteletts',0 Bewertungen - Ø 2.5,star-unb,(0),normal,15 min.,02.10.2017,http://www.chefkoch.de/rezepte/3403431506936834/Rosmarin-Koteletts.html,no
recipe-3403421506936747,b'Schoko-Pudding',0 Bewertungen - Ø 2.5,star-unb,(0),simpel,10 min.,02.10.2017,http://www.chefkoch.de/rezepte/3403421506936747/Schoko-Pudding.html,no
recipe-3400931506508770,b'Blumenkohl-S\xfc\xdfkartoffelmus',0 Bewertungen - Ø 2.5,star-unb,(0),simpel,20 min.,02.10.2017,http://www.chefkoch.de/rezepte/3400931506508770/Blumenkohl-Suesskartoffelmus.html,yes
recipe-3400911506502855,b'Griechischer Hackauflauf',0 Bewertungen - Ø 2.5,star-unb,(0),normal,30 min.,02.10.2017,http://www.chefkoch.de/rezepte/3400911506502855/Griechischer-Hackauflauf.html,yes
recipe-3400901506502431,b'Binis Heidelbeer-Quark-Fr\xfchst\xfcck',0 Bewertungen - Ø 2.5,star-unb,(0),simpel,5 min.,02.10.2017,http://www.chefkoch.de/rezepte/3400901506502431/Binis-Heidelbeer-Quark-Fruehstueck.html,yes
recipe-3396861505781937,b'Lustiger Bosniak \xe0 la Jack Tengo',1 Bewertung - Ø 3.33,star-3_5,(1),normal,30 min.,28.09.2017,http://www.chefkoch.de/rezepte/3396861505781937/Lustiger-Bosniak-la-Jack-Tengo.html,yes
recipe-3397351505842667,b'Himbeer-Tiramisu-Torte',0 Bewertungen - Ø 2.5,star-unb,(0),normal,30 min.,27.09.2017,http://www.chefkoch.de/rezepte/3397351505842667/Himbeer-Tiramisu-Torte.html,yes
recipe-3362211499938935,b'Puten-Curry-Salat',0 Bewertungen - Ø 2.5,star-unb,(0),normal,10 min.,27.09.2017,http://www.chefkoch.de/rezepte/3362211499938935/Puten-Curry-Salat.html,no
oestl-mit-Kaese-und-Ei.html,yes
recipe-3401031506519664,b'Tortelliniauflauf mit Erbsen und Speck',0 Bewertungen - Ø 2.5,star-unb,(0),normal,20 min.,27.09.2017,http://www.chefkoch.de/rezepte/3401031506519664/Tortelliniauflauf-mit-Erbsen-und-Speck.html,no
recipe-3400871506497704,b'Binis Wurzelgem\xfcse',0 Bewertungen - Ø 2.5,star-unb,(0),simpel,10 min.,02.10.2017,http://www.chefkoch.de/rezepte/3400871506497704/Binis-Wurzelgemuese.html,yes
recipe-3400651506442169,b'H\xe4hnchen mediterran mit Sauce',0 Bewertungen - Ø 2.5,star-unb,(0),normal,60 min.,01.10.2017,http://www.chefkoch.de/rezepte/3400651506442169/Haehnchen-mediterran-mit-Sauce.html,yes
recipe-3398421506014086,b'Couscous-Blumenkohl mit Tomatensugo',0 Bewertungen - Ø 2.5,star-unb,(0),simpel,10 min.,26.09.2017,http://www.chefkoch.de/rezepte/3398421506014086/Couscous-Blumenkohl-mit-Tomatensugo.html,yes
recipe-3400341506358588,b'Streuselk\xfcchlein mit weihnachtlicher Marzipanf\xfcllung',0 Bewertungen - Ø 2.5,star-unb,(0),normal,30 min.,26.09.2017,http://www.chefkoch.de/rezepte/3400341506358588/Streuselkuechlein-mit-weihnachtlicher-Marzipanfuellung.html,yes
recipe-3400031506288666,b'Leckerbissen mit Hackepeter',0 Bewertungen - Ø 2.5,star-unb,(0),simpel,10 min.,28.09.2017,http://www.chefkoch.de/rezepte/3400031506288666/Leckerbissen-mit-Hackepeter.html,yes
recipe-3398951506097885,b'Pfifferlingschnitzel aus dem Ofen',0 Bewertungen - Ø 2.5,star-unb,(0),normal,20 min.,27.09.2017,http://www.chefkoch.de/rezepte/3398951506097885/Pfifferlingschnitzel-aus-dem-Ofen.html,yes
recipe-3398921506091092,b'Veganes K\xfcrbis-Muhammara',1 Bewertung - Ø 3.33,star-3_5,(1),normal,15 min.,27.09.2017,http://www.chefkoch.de/rezepte/3398921506091092/Veganes-Kuerbis-Muhammara.html,no
recipe-3396791505750168,b'Mascarpone-Kirsch-Schichtdessert',0 Bewertungen - Ø 2.5,star-unb,(0),simpel,15 min.,28.09.2017,http://www.chefkoch.de/rezepte/3396791505750168/Mascarpone-Kirsch-Schichtdessert.html,yes
recipe-3400971506513721,b'Salep Panna Cotta',0 Bewertungen - Ø 2.5,star-unb,(0),simpel,5 min.,27.09.2017,http://www.chefkoch.de/rezepte/3400971506513721/Salep-Panna-Cotta.html,yes
recipe-3401631506624902,b'Feigen-Carpaccio mit K\xfcrbiskern\xf6l',1 Bewertung - Ø 3,star-3,(1),simpel,10 min.,29.09.2017,http://www.chefkoch.de/rezepte/3401631506624902/Feigen-Carpaccio-mit-Kuerbiskernoel.html,yes
recipe-3400861506497567,b'Schokotraumtorte',0 Bewertungen - Ø 2.5,star-unb,(0),normal,50 min.,02.10.2017,http://www.chefkoch.de/rezepte/3400861506497567/Schokotraumtorte.html,yes
recipe-3400841506454846,b'Gef\xfcllte Tomaten',0 Bewertungen - Ø 2.5,star-unb,(0),simpel,20 min.,02.10.2017,http://www.chefkoch.de/rezepte/3400841506454846/Gefuellte-Tomaten.html,no
recipe-3400831506454261,b'Englische Lauch-Pilz-Gefl\xfcgel-Pie',0 Bewertungen - Ø 2.5,star-unb,(0),normal,45 min.,02.10.2017,http://www.chefkoch.de/rezepte/3400831506454261/Englische-Lauch-Pilz-Gefluegel-Pie.html,no
recipe-3400711506450908,b'Herzhafter Kartoffelkuchen',0 Bewertungen - Ø 2.5,star-unb,(0),simpel,45 min.,02.10.2017,http://www.chefkoch.de/rezepte/3400711506450908/Herzhafter-Kartoffelkuchen.html,no
recipe-3400571506426803,b'Garnelensalat',0 Bewertungen - Ø 2.5,star-unb,(0),simpel,15 min.,26.09.2017,http://www.chefkoch.de/rezepte/3400571506426803/Garnelensalat.html,yes
