recipe_id	difficulty	date_x	has_picture	num_reviews	avg_rating	stars	prep_time	printed_total	printed_last_month	saved_total	saved_last_month	author_registered	author_posts	days_exists	author_reg	printed_per_day	saved_per_day	posts_per_day	Backpulver_ing	Butter_ing	Ei_ing	Gemüsebrühe_ing	Kartoffel_ing	Knoblauchzehe_ing	Mehl_ing	Milch_ing	Olivenöl_ing	Paprikapulver_ing	Pfeffer_ing	Sahne_ing	Salz_ing	Salz und Pfeffer_ing	Tomate_ing	Wasser_ing	Zucker_ing	Zwiebel_ing	Öl_ing	Afrika_tag	Asien_tag	Auflauf_tag	Aufstrich_tag	Babynahrung_tag	Backen_tag	Basisrezepte_tag	Beilage_tag	Braten_tag	Brot oder Brötchen_tag	Brotspeise_tag	Camping_tag	China_tag	Creme_tag	Dessert_tag	Deutschland_tag	Dips_tag	Dünsten_tag	Ei_tag	Eier_tag	Eier oder Käse_tag	Einlagen_tag	Eintopf_tag	Eis_tag	Ernährungskonzepte_tag	Europa_tag	Festlich_tag	Fingerfood_tag	Fisch_tag	Fleisch_tag	Frankreich_tag	Frittieren_tag	Frucht_tag	Früchte_tag	Frühling_tag	Frühstück_tag	Geflügel_tag	Gemüse_tag	Getreide_tag	Getränk_tag	Gewürze Öl Essig Pasten_tag	Grillen_tag	Großbritannien_tag	Grundrezepte_tag	Halloween_tag	Haltbarmachen_tag	Hauptspeise_tag	Herbst_tag	Hülsenfrüchte_tag	Italien_tag	Kartoffel_tag	Kartoffeln_tag	Kekse_tag	Kinder_tag	Konfiserie_tag	Krustentier oder Fisch_tag	Krustentier oder Muscheln_tag	Kuchen_tag	Käse_tag	Lamm oder Ziege_tag	Likör_tag	Meeresfrüchte_tag	Mehlspeisen_tag	Mikrowelle_tag	Mittlerer- und Naher Osten_tag	Nudeln_tag	Osteuropa_tag	Party_tag	Pasta_tag	Pilze_tag	Pizza_tag	Reis_tag	Resteverwertung_tag	Rind_tag	Salat_tag	Saucen_tag	Schmoren_tag	Schnell_tag	Schwein_tag	Shake_tag	Silvester_tag	Snack_tag	Sommer_tag	Spanien_tag	Studentenküche_tag	Suppe_tag	Süßspeise_tag	Tarte_tag	Thailand_tag	Torte_tag	Trennkost_tag	Türkei_tag	Ungarn_tag	Vegan_tag	Vegetarisch_tag	Vollwert_tag	Vorspeise_tag	Weihnachten_tag	Wild_tag	Winter_tag	Wok_tag	Wursten_tag	einfach_tag	fettarm_tag	gebunden_tag	gekocht_tag	kalorienarm_tag	kalt_tag	klar_tag	marinieren_tag	raffiniert oder preiswert_tag	warm_tag	Ägypten_tag	Überbacken_tag
recipe-3398171505991142	simpel	2017-09-28	no	0.0	2.5	unb	15.0	2.0	1.0	1.0	0.0	2012-12-01	4.0	5	1767	-0.916290731874155	-1.6094379124341003	-6.090744111199806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
recipe-3397961505977997	simpel	2017-09-28	no	0.0	2.5	unb	15.0	2.0	1.0	1.0	0.0	2013-12-29	0.0	5	1374	-0.916290731874155	-1.6094379124341003	-inf	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
recipe-3397231505834668	simpel	2017-09-28	no	2.0	3.5	3_5	30.0	7.0	3.0	5.0	2.0	2016-01-28	0.0	5	614	0.3364722366212129	0.0	-inf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
recipe-3398761506085411	simpel	2017-09-27	no	0.0	2.5	unb	5.0	5.0	3.0	0.0	0.0	2011-05-27	0.0	6	2321	-0.1823215567939546	-inf	-inf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
recipe-3397801505922972	normal	2017-09-27	no	0.0	2.5	unb	60.0	2.0	0.0	1.0	0.0	2012-05-04	32.0	6	1978	-1.0986122886681098	-1.791759469228055	-4.124105609382931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
recipe-3396511505714317	normal	2017-09-26	no	0.0	2.5	unb	30.0	4.0	1.0	1.0	0.0	2017-09-13	0.0	7	20	-0.5596157879354228	-1.9459101490553135	-inf	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
recipe-3397751505915231	normal	2017-09-27	no	0.0	2.5	unb	60.0	4.0	1.0	3.0	0.0	2017-04-26	6.0	6	160	-0.40546510810816444	-0.6931471805599453	-3.283414346005772	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
recipe-3396131505644322	normal	2017-09-26	no	0.0	2.5	unb	30.0	3.0	0.0	0.0	0.0	2014-01-11	0.0	7	1361	-0.8472978603872037	-inf	-inf	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
recipe-3395571505545871	normal	2017-09-26	no	0.0	2.5	unb	20.0	8.0	0.0	0.0	0.0	2014-07-25	0.0	7	1166	0.13353139262452257	-inf	-inf	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
recipe-3238691481826860	simpel	2017-09-26	no	0.0	2.5	unb	15.0	3.0	0.0	0.0	0.0	2016-12-15	0.0	7	292	-0.8472978603872037	-inf	-inf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1
